x0,y0,z0,xd0,yd0,zd0,Tp,JC,stabilityIndex1,stabilityIndex2,alpha,beta,impactFlag,error
1.0204598958900668,0.0,0.0000000000000000,0.0000000000000004,0.0000096353026118,0.0000000000000000,3.0764752817164922,3.0036090819252581,1936.2435,1.9507,-1938.1942,3779.1201,0,1.4e-12
1.0204693508386768,0.0,0.0000000000000000,-0.0000000000000003,-0.0000515225268357,0.0000000000000000,3.0764755921694449,3.0036090798997868,1936.2413,1.9507,-1938.1921,3779.1165,0,8.1e-13
1.0204788899951640,0.0,-0.0000000000000000,0.0000000000000006,-0.0001132727255625,0.0000000000000000,3.0764768541203997,3.0036090718510247,1936.2329,1.9507,-1938.1837,3779.1028,0,2.0e-12
1.0204885136272861,0.0,0.0000000000000000,-0.0000000000000006,-0.0001756184543510,0.0000000000000000,3.0764790868888263,3.0036090575991925,1936.2181,1.9508,-1938.1688,3779.0785,0,8.9e-13
1.0204982219858323,0.0,0.0000000000000000,0.0000000000000005,-0.0002385627895310,-0.0000000000000000,3.0764823199358782,3.0036090369613184,1936.1965,1.9508,-1938.1473,3779.0432,0,1.4e-12
1.0205080153032553,0.0,-0.0000000000000000,-0.0000000000000002,-0.0003021087141244,0.0000000000000000,3.0764865825796313,3.0036090097512482,1936.1682,1.9508,-1938.1189,3778.9967,0,2.9e-13
1.0205178937928978,0.0,-0.0000000000000000,0.0000000000000012,-0.0003662591126950,-0.0000000000000000,3.0764919044177890,3.0036089757796551,1936.1328,1.9508,-1938.0835,3778.9387,0,1.3e-13
1.0205278576478434,0.0,0.0000000000000000,-0.0000000000000011,-0.0004310167638008,0.0000000000000000,3.0764983158293555,3.0036089348540598,1936.0901,1.9508,-1938.0409,3778.8687,0,6.3e-13
1.0205379070409664,0.0,-0.0000000000000000,0.0000000000000005,-0.0004963843401337,-0.0000000000000000,3.0765058473798721,3.0036088867788457,1936.0400,1.9508,-1937.9907,3778.7866,0,1.1e-13
1.0205480421235753,0.0,-0.0000000000000000,-0.0000000000000006,-0.0005623643995310,0.0000000000000000,3.0765145303561954,3.0036088313552893,1935.9822,1.9508,-1937.9330,3778.6919,0,2.0e-13
