x0,y0,z0,xd0,yd0,zd0,Tp,JC,stabilityIndex1,stabilityIndex2,alpha,beta,impactFlag,error
1.0148933454576219,0.0,-0.0001715045993532,-0.0084793095549594,-0.0561725842575833,0.0003372070738029,25.3003059040121840,3.0007214738469132,2.1747,2.0000,-4.17468349,6.34936700,0,3.1e-12
1.0148933435006129,0.0,-0.0001759806021156,-0.0084793871140346,-0.0561723552344941,0.0003460065507905,25.3002959040121844,3.0007214791939631,2.1747,2.0000,-4.17470801,6.34941605,0,2.6e-13
1.0148933415427470,0.0,-0.0001803458111141,-0.0084794646677006,-0.0561721262013051,0.0003545881362518,25.3002859040121848,3.0007214845412564,2.1747,2.0000,-4.17473255,6.34946513,0,1.3e-12
1.0148933395840281,0.0,-0.0001846080792449,-0.0084795422157623,-0.0561718971584107,0.0003629672685999,25.3002759040121852,3.0007214898887842,2.1748,2.0000,-4.17475711,6.34951425,0,1.4e-13
1.0148933376241698,0.0,-0.0001887743817130,-0.0084796197586728,-0.0561716681064618,0.0003711576143954,25.3002659040121856,3.0007214952365304,2.1748,2.0000,-4.17478157,6.34956315,0,1.5e-11
1.0148933356636212,0.0,-0.0001928509299015,-0.0084796972959761,-0.0561714390443266,0.0003791715023545,25.3002559040121824,3.0007215005845254,2.1748,2.0000,-4.17480617,6.34961236,0,9.0e-12
1.0148933337020587,0.0,-0.0001968433075661,-0.0084797748281676,-0.0561712099726197,0.0003870198405910,25.3002459040121828,3.0007215059327530,2.1748,2.0000,-4.17483074,6.34966151,0,7.2e-12
1.0148933317397271,0.0,-0.0002007565332494,-0.0084798523545136,-0.0561709808911927,0.0003947125098839,25.3002359040121831,3.0007215112812133,2.1749,2.0000,-4.17485531,6.34971066,0,6.6e-12
1.0148933297764406,0.0,-0.0002045951505971,-0.0084799298754871,-0.0561707518002227,0.0004022584328347,25.3002259040121835,3.0007215166299055,2.1749,2.0000,-4.17487989,6.34975981,0,6.2e-12
1.0148933278121344,0.0,-0.0002083632821486,-0.0084800073913981,-0.0561705226996648,0.0004096657299437,25.3002159040121839,3.0007215219788330,2.1749,2.0000,-4.17490448,6.34980901,0,2.9e-12
1.0148933258469344,0.0,-0.0002120646860626,-0.0084800849018466,-0.0561702935894864,0.0004169417816813,25.3002059040121843,3.0007215273279915,2.1749,2.0000,-4.17492905,6.34985815,0,4.3e-12
